trailName,topElevation,bottomElevation,verticalRise,planLength,slopeLength,averageWidth,slopeArea,averageGrade,maxGrade,abilityLevel
Spring Dipper,"11,604","10,020","1,584","8,392","8,699",179,35.6,19%,36%,Intermediate
Flying Dutchman,"11,595","10,150","1,445","6,401","6,777",226,35.2,23%,42%,Intermediate
Bachelor,"11,613","10,842",771,"3,341","3,507",167,13.5,23%,48%,Advanced Intermediate
Jackface,"11,125","11,038",88,946,"1,103",307,7.8,9%,44%,Intermediate
Jackwhacker,"11,038","10,146",892,"3,352","3,709",244,20.7,27%,37%,Intermediate
Sante Fe,"10,936","10,061",875,"4,343","4,478",153,15.7,20%,45%,Intermediate
Upper Whipsaw,"10,732","10,328",404,"1,732","1,791",191,7.9,23%,33%,Intermediate
Cross-cut,"10,839","10,647",192,"1,034","1,064",160,3.9,19%,33%,Intermediate
Swandyke,"10,432","10,108",324,"1,246","1,293",145,4.3,26%,43%,Intermediate
Lower Whipsaw,"10,288","10,136",152,628,655,144,2.2,24%,40%,Intermediate
Saddlejack,"10,226","10,073",153,990,"1,006",212,4.9,15%,32%,Intermediate
Missouri,"10,065","9,853",212,937,963,158,3.5,23%,31%,Intermediate
River Run,"10,068","9,318",750,"2,645","2,777",267,17,28%,40%,Intermediate
Beger,"10,020","9,643",377,"1,465","1,566",133,4.8,26%,35%,Intermediate
Midland,"9,797","9,756",41,261,265,104,0.6,16%,17%,Intermediate
Bear Tree,"9,635","9,527",108,646,657,112,1.7,17%,24%,Novice
Ina's Way,"9,514","9,391",123,"1,181","1,222",66,1.8,10%,20%,Novice
Upper Schoolmarm,"11,611","10,832",779,"5,645","5,811",163,21.8,14%,23%,Novice
Frenchman,"11,612","10,121","1,491","6,276","6,530",170,25.4,24%,47%,Advanced Intermediate
Wild Irishman,"11,440","10,253","1,187","5,093","5,260",187,22.6,23%,42%,Intermediate
Paymaster,"11,359","10,123","1,236","5,893","6,100",207,28.9,21%,36%,Intermediate
Ida Belle,"11,142","10,870",272,"1,109","1,160",83,2.2,24%,46%,Advanced Intermediate
Silver Spoon,"11,023","10,178",845,"4,084","4,250",215,21,21%,26%,Low Intermediate
SilverMaster,"10,617","10,563",53,227,236,77,0.4,24%,29%,Low Intermediate
Zuma Highway- West,"10,057","9,971",86,838,894,109,2.2,10%,12%,Novice
Zuma Highway- East,"9,985","9,971",14,398,400,80,0.7,4%,7%,Novice
SnoSkate Park,"10,932","10,855",77,751,756,185,3.2,10%,13%,Novice
Jaybird,"10,185","9,986",200,"1,253","1,278",209,6.1,16%,26%,Low Intermediate
Modest Girl,"10,184","10,104",80,588,594,139,1.9,14%,19%,Novice
Bobtail,"10,002","9,780",221,"1,325","1,358",110,3.4,17%,31%,Low Intermediate
Upper Jackstraw,"9,972","9,918",54,523,532,41,0.5,10%,18%,Novice
Lower Jackstraw,"9,908","9,841",67,786,808,56,1,9%,16%,Novice
Orfint Boy,"9,978","9,916",63,256,270,105,0.7,25%,35%,Low Intermediate
Upper Dercum's Dash,"9,857","9,650",206,"1,688","1,710",90,3.5,12%,22%,Novice
Lower Dercum's Dash,"9,650","9,594",56,646,652,68,1,9%,14%,Intermediate
Lower Schoolmarm,"9,833","9,361",472,"4,892","4,994",112,12.8,10%,19%,Novice
Central Schoolmarm,"10,832","9,838",994,"5,199","5,408",204,25.4,19%,22%,Novice
Freda's Way,"10,861","10,532",329,"1,488","1,525",181,6.3,22%,20%,Novice
Saw Whiskers,"10,872","10,758",113,855,865,139,2.8,13%,20%,Novice
Crossover,"10,787","10,459",328,"1,436","1,500",59,2,23%,17%,Novice
Hoodoo,"10,571","10,204",367,"1,708","1,806",135,5.6,21%,32%,Low Intermediate
Schoolmaster,"10,574","10,280",294,"1,358","1,416",177,5.8,22%,27%,Low Intermediate
Last Chance,"10,345","9,972",373,"2,651","2,725",194,12.1,14%,21%,Novice
Gassy's,"10,197","10,009",188,910,942,180,3.9,21%,34%,Low Intermediate
Two Sled,"10,381","10,260",122,"1,329","1,341",32,1,9%,15%,Novice
Ballhooter,"10,143","9,908",235,"1,140","1,177",220,6,21%,41%,Intermediate
Haywood,"9,845","9,400",445,"2,563","2,625",152,9.1,17%,38%,Intermediate
Last Hoot,"10,182","9,386",797,"2,748","2,896",233,15.5,29%,54%,Advanced Intermediate
Lower A-51,"10,446","9,893",553,"2,134","2,230",402,20.6,26%,37%,Intermediate
The Slot,"10,373","10,093",280,810,859,106,2.1,35%,38%,Intermediate
Go Devil,"10,647","9,884",762,"2,966","3,083",144,10.2,26%,36%,Intermediate
Lower Go Devil,"9,891","9,354",537,"2,238","2,359",146,7.9,24%,52%,Advanced Intermediate
Discovery,"9,416","9,325",91,780,785,305,5.5,12%,16%,Novice
A-51 Racecourse,"10,855","10,385",470,"2,114","2,177",170,8.5,22%,25%,Novice
A-51 Mainstreet,"10,862","10,442",420,"1,952","2,036",188,8.8,22%,26%,Low Intermediate
A-51 - 4 fingers and a pipe,"10,866","10,448",418,"2,189","2,242",463,23.9,19%,25%,Low Intermediate
Mozart,"11,601","10,021","1,579","7,253","7,534",233,40.3,22%,47%,Intermediate
Mineshaft,"11,400","10,437",963,"2,543","2,793",226,14.5,38%,50%,Advanced Intermediate
Diamond Back,"11,485","10,056","1,429","4,945","5,339",170,20.8,29%,55%,Advanced Intermediate
Scout,"11,605","11,486",120,962,"1,022",238,5.6,12%,17%,Novice
Endeavor - TipTop,"11,630","11,469",161,"1,250","1,265",108,3.1,15%,19%,Novice
Prospector,"11,456","10,492",965,"5,119","5,244",159,19.2,19%,36%,Intermediate
Last Alamo,"11,485","10,704",781,"2,790","2,942",190,12.8,28%,40%,Intermediate
Ambush,"11,506","10,492","1,014","3,394","3,575",137,11.3,30%,49%,Advanced Intermediate
Powder Cap,"11,441","10,422","1,020","3,058","3,235",141,10.4,33%,43%,Advanced Intermediate
Star Fire,"11,479","10,057","1,421","4,685","4,957",149,17,30%,46%,Advanced Intermediate
Bullet,"10,981","10,258",723,"1,824","1,977",125,5.7,40%,52%,Advanced Intermediate
Black Hawk,"11,154","10,358",797,"1,706","1,893",181,7.9,47%,57%,Expert
Geronimo,"11,473","10,021","1,452","4,903","5,246",170,20.4,30%,52%,Advanced Intermediate
Cat Dancer,"11,451","10,487",964,"2,926","3,107",179,12.7,33%,51%,Advanced Intermediate
Anticipation,"11,430","10,790",640,"2,972","3,107",222,15.8,22%,40%,Intermediate
Spillway,"11,440","10,729",711,"2,756","2,858",202,13.3,26%,41%,Intermediate
Upper Fox Trot,"10,928","10,921",7,611,689,54,0.9,10%,10%,Intermediate
Lower Fox Trot,"10,847","10,793",54,"1,207","1,223",59,1.7,12%,20%,Intermediate
Anticipation Flats,"10,790","10,525",265,"3,380","3,465",124,9.9,8%,13%,Intermediate
Wayback Access,"10,525","10,369",156,"1,183","1,208",56,1.5,10%,10%,Intermediate
Wayback Lift Line,"11,426","10,381","1,045","3,566","3,783",76,6.6,29%,49%,Advanced Intermediate
Black Forest,"11,929","11,497",432,"1,705","1,771",263,10.7,25%,32%,Advanced Intermediate
Timberwolf,"11,509","11,003",507,"1,656","1,740",128,5.1,31%,47%,Advanced Intermediate
Bushwhacker,"11,504","10,862",642,"1,802","1,946",100,4.5,36%,56%,Expert
Badger,"11,495","10,822",673,"1,931","2,076",110,5.2,35%,49%,Advanced Intermediate
Coyote Caper,"10,999","10,532",466,"4,332","4,411",110,11.2,11%,18%,Advanced Intermediate
"Oh, Bob!","11,590","10,548","1,043","3,989","4,152",108,10.3,26%,45%,Intermediate
Elk Run,"11,908","10,613","1,295","4,975","5,260",195,23.5,26%,42%,Intermediate
Big Horn,"11,629","10,689",940,"3,380","3,734",138,11.8,28%,40%,Intermediate
Porcupine,"11,679","10,761",917,"3,397","3,722",164,14,27%,42%,Intermediate
Lodgepole,"11,056","10,533",523,"6,195","6,224",20,2.8,8%,18%,Intermediate
The Willows,"10,852","10,530",322,"4,414","4,525",121,12.6,7%,18%,Intermediate
Escape,"10,987","10,866",121,411,429,20,0.2,29%,32%,Intermediate
Magic Carpet 1,"9,283","9,278",6,125,125,153,0.4,4%,4%,Beginner
Magic Carpet 11,"9,322","9,280",42,395,398,240,2.2,11%,11%,Beginner
Magic Carpet 111,"9,310","9,280",31,266,268,124,0.8,11%,11%,Beginner
Kokomo (Carpet IV),"11,620","11,575",45,359,362,151,1.3,13%,13%,Novice
Sunkid 1,"9,360","9,348",11,145,146,79,0.3,8%,8%,Beginner